"","title","point","review"
"143","싱글라이더","5","좋은 의도였으나 이야기 전개가 뭔가 아쉽다."
"144","크림슨 타이드","6","어제 잠수함 액션 영화인 '울프콜'을 재미있게 본 후 또 한 번 잠수함 영화에 도전해 보고자 20년이 넘은잠수함 영화의 전설이라고 불리우는 이 작품을 보았는데 역시 영상면에서 세월의 흐름은 무시할 수 없었다.두 영화의 공통점은 대통령의 핵미사일 발사명령을 취소하는 과정에서 벌어지는 우환이 주된 소재.차기작으로는 실제로 잠수함에서 핵미사일을 발사하여 대륙에 핵구름이 피어오르고 낙진이 쏟아지는 좀 더 흥미있는 스토리의영화를 기대하고 싶다. 러시아 잠수함에 들어가 본적이 있는데 정말로 열악하고 답답하다. 그 속에서 생활하는 실제인물들이대단하다라는 생각이 들었다. 무튼 더 발전되고 재미있는 후속작을 기대해 본다. 세계 3대 영향권자는 미통, 러통, 핵잠장이었구나."
"145","화이트 라이언 찰리","10","아프리카에 관심이 많았는데 정말 좋은 영화네요 마구 추천해주고 싶은 영화"
"146","화이트 라이언 찰리","10","전 세계 모든 사람들이 꼭 봤으면 좋겠다."
"147","라플라스의 마녀","10","일본영화는 특유의 매력이 있고 감성이 있어서 대체적으로 괜찮은 것 같다."
"148","사랑하고 있습니까","10","마법같은 판타지 로맨스로 감동적이고 재밌네요^v^ 영화 OST도 좋네요^^"
"149","원스 어폰 어 타임 인 아메리카","10","더이상의 말이 필요없는 영화"
"150","인비저블맨","1","이거 진짜 알바생들만 글쓴거같네....다들 보세요.나만 시간 버릴 순 없지"
"151","주디","10","오버더레인보우 나올때 눈물이.. 르네 젤위거 짱"
"152","백두산","8","영화 볼만함 . 일베충들 평점 테러땜에 너무 낮지만 평점 7점대 정도 영화라고 봐짐.. 배우들 화려하고 다만 돈쓴거에 비해 좀 아쉽다"
"153","스케어리 스토리: 어둠의 속삭임","6","동화와 현실의 접점을 신비로우면서도 공포스럽게 그리는 영화를 오랜만에 즐겨서 좋았지만, 서사의 밀도나 캐릭터의 매력은 좀 아쉬웠다. 특히 <데스티네이션>식 전개는 헐리우드 B급 호러물을 떠올리게 하더라."
"154","주디","10","미쳤당. 최고의 연기와 시나리오"
"155","13층","8","개봉당시에는 엄청 신선했을 듯. 근데 지금 보기에는 그닥 신선하지는 않다...."
"156","클로젯","1","벽장 안에 숨고 싶네요... 하"
"157","힘을 내요, 미스터 리","10","10번봐도 안 지루한 영화"
"158","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","쿠팡맨, 행복을 전해주는 기억하겠습니다."
"159","모리의 정원","8","잔잔하게 물들다가 마음이 녹는다. 소박하지만 풍요롭고, 따스하면서도 애틋한 모리와 히데코의 일상. 지금 내가 잃어버린 게 무엇인지 생각하게 만든다."
"160","정직한 후보","4","조연부터 모두다 배우 연기나 대본은 좋았으나... 김무열 붕붕 날아다니는 장면으로 설명 되는 날림 연출... 부라더 이후로 변한게 없음. 배우와 대사쓴 작가들만 불쌍하더라."
"161","스케어리 스토리: 어둠의 속삭임","10","판타스틱하다 손나은 쥬연 여곡성 리메이크 이후 최후의 수작이다. 한시도 눈을 뗄수 없었다 시계에서...꼭 영화관에서 보길 바란다 그래야 공포감이 극대화 된다!! 영화에 몰입해서 보다보면 문득 등줄기에 식은땀이 흐르고 내가 이 영화를 돈내고 보고 있다는 생각에 온몸에 소름이..."
"162","복수는 나의 것","9","사이코 연쇄 살인범의 은폐된 욕망을 그린 범죄, 드라마영화다. 사키 류조의 동명소설을 원작으로 한 영화다. 1960년대 일본에서 있었던 연쇄살인사건을 배경으로 한 작품이다. 인간 본능을 주제를 주로 다루는 명장 '이마무라 쇼헤이'감독의 1979년 작품으로 2004년에 개봉된 영화다. 1980년 일본 아카데미 작품상, 감독상, 조연상, 각본상, 촬영상, 조명상을 수상한 영화로 일본영화의 전성기를 엿볼 수 있는 대표적인 명작이다. 이유도 윈인도 없는 살인, 사기, 절도를 저지르면서도 인간만이 가지는 온정라고는 조금도 찾아 보기 힘든 희대의 살인마. 과연 누가 이괴물을 만들었을까. 어릴적 아버지가 천황에게 배를 헌납한 것에 대한 복수 때문일까, 아니면 아버지의 위선적인 행동에 대한 반감때문일까도 생각해 봤지만 설득력이 부족하다. 인간은 천부적으로 은폐된 악마적인 성품을 가지고 태어난다는 성악설을 결부시켜 보아도 해답이 없는 오직 신만이 아는 영역인 듯하다. 아뭏튼 이영화는 감독의 역량이 그대로 발휘된 작품으로 봉준호 감독이 존경할만한 감독이며 작품이다. 살인의 추억이 이영화에 영감을 받지 않았나 싶다. 1983년 '나라야마 부시코' 1997년 우나기'로 두번의 칸 황금종려상을 수상한 감독으로 가장 최근의 작품은 2001년의 붉은 다리아래 따뜻한 물이다. 2006년에 작고했지만 그가 남겨 놓은 명작은 일본영화계뿐만 아니라 세계영화계의 위대한 업적임에 틀림없다. 필자는 평점 9점을 남겨 본다."
"163","온다","8","그것은 사람 마음속 어둠에 온다"
"164","클로젯","8","재밌내요 있을꺼 다 있는 영환데 평점이 왤케 낮지"
"165","이장","10","제 주변에 있을 것 같은 언니들의 모습이 어찌나 공감되던지요. 완전 내얘기야 하면서 초집중하며 본 영화 같아요! 가족에 대해서 다시 생각해볼 수 있는 계기였고 지루함 전혀 없었어요!"
"166","이터널 선샤인","5","속는셈치고 봤는데 역시는 역시였다~~명작이라고하기엔너무 턱없이 부족했음~~"
"167","커런트 워","7","그 시대 표현을 잘 해놓은 과학 위의 철학의 인생사"
